state,county,type,conf,delta
Alabama,Houston,work,1,-30.0
Alabama,Houston,home,1,9.0
Alabama,Jackson,retail_rec,1,-31.0
Alabama,Jackson,groc_pharm,1,-4.0
Alabama,Jackson,parks,0,
Alabama,Jackson,transit,0,
Alabama,Jackson,work,1,-25.0
Alabama,Jackson,home,0,12.0
Alabama,Jefferson,retail_rec,1,-48.0
Alabama,Jefferson,groc_pharm,1,-16.0
Alabama,Jefferson,parks,1,7.0
Alabama,Jefferson,transit,1,-43.0
Alabama,Jefferson,work,1,-36.0
Alabama,Jefferson,home,1,11.0
Alabama,Lamar,retail_rec,0,0.0
Alabama,Lamar,groc_pharm,1,2.0
Alabama,Lamar,parks,0,
Alabama,Lamar,transit,0,
Alabama,Lamar,work,0,-28.0
Alabama,Lamar,home,0,
Alabama,Lauderdale,retail_rec,1,-43.0
Alabama,Lauderdale,groc_pharm,1,-14.0
Alabama,Lauderdale,parks,0,-15.0
Alabama,Lauderdale,transit,0,
Alabama,Lauderdale,work,1,-33.0
Alabama,Lauderdale,home,1,9.0
Alabama,Lawrence,retail_rec,1,-27.0
Alabama,Lawrence,groc_pharm,1,-6.0
Alabama,Lawrence,parks,0,
Alabama,Lawrence,transit,0,
Alabama,Lawrence,work,1,-25.0
Alabama,Lawrence,home,0,7.0
Alabama,Lee,retail_rec,1,-52.0
Alabama,Lee,groc_pharm,1,-23.0
Alabama,Lee,parks,0,-14.0
Alabama,Lee,transit,0,
Alabama,Lee,work,1,-36.0
Alabama,Lee,home,1,11.0
Alabama,Limestone,retail_rec,1,-35.0
Alabama,Limestone,groc_pharm,1,-12.0
Alabama,Limestone,parks,0,38.0
Alabama,Limestone,transit,0,
Alabama,Limestone,work,1,-32.0
Alabama,Limestone,home,1,9.0
Alabama,Lowndes,retail_rec,0,
Alabama,Lowndes,groc_pharm,0,
Alabama,Lowndes,parks,0,
Alabama,Lowndes,transit,1,-29.0
Alabama,Lowndes,work,0,-34.0
Alabama,Lowndes,home,0,
Alabama,Macon,retail_rec,1,-29.0
Alabama,Macon,groc_pharm,1,-12.0
Alabama,Macon,parks,0,
Alabama,Macon,transit,1,-42.0
Alabama,Macon,work,1,-37.0
Alabama,Macon,home,0,
Alabama,Madison,retail_rec,1,-46.0
Alabama,Madison,groc_pharm,1,-17.0
Alabama,Madison,parks,1,35.0
Alabama,Madison,transit,1,-39.0
Alabama,Madison,work,1,-38.0
Alabama,Madison,home,1,10.0
Alabama,Marengo,retail_rec,1,-18.0
Alabama,Marengo,groc_pharm,1,-4.0
Alabama,Marengo,parks,0,
Alabama,Marengo,transit,0,
Alabama,Marengo,work,1,-17.0
Alabama,Marengo,home,0,
Alabama,Marion,retail_rec,1,-31.0
Alabama,Marion,groc_pharm,1,-4.0
Alabama,Marion,parks,0,
Alabama,Marion,transit,0,
Alabama,Marion,work,1,-24.0
Alabama,Marion,home,0,
Alabama,Marshall,retail_rec,1,-34.0
Alabama,Marshall,groc_pharm,1,-4.0
Alabama,Marshall,parks,0,107.0
Alabama,Marshall,transit,0,
Alabama,Marshall,work,1,-30.0
Alabama,Marshall,home,1,8.0
Alabama,Mobile,retail_rec,1,-39.0
Alabama,Mobile,groc_pharm,1,-11.0
Alabama,Mobile,parks,1,-21.0
Alabama,Mobile,transit,1,-30.0
Alabama,Mobile,work,1,-29.0
Alabama,Mobile,home,1,9.0
Alabama,Monroe,retail_rec,1,-28.0
Alabama,Monroe,groc_pharm,1,-7.0
Alabama,Monroe,parks,0,
Alabama,Monroe,transit,0,
Alabama,Monroe,work,0,-27.0
Alabama,Monroe,home,0,
Alabama,Montgomery,retail_rec,1,-44.0
Alabama,Montgomery,groc_pharm,1,-14.0
Alabama,Montgomery,parks,1,-9.0
Alabama,Montgomery,transit,1,-14.0
Alabama,Montgomery,work,1,-34.0
Alabama,Montgomery,home,1,11.0
Alabama,Morgan,retail_rec,1,-37.0
Alabama,Morgan,groc_pharm,1,-4.0
Alabama,Morgan,parks,1,18.0
Alabama,Morgan,transit,1,-27.0
Alabama,Morgan,work,1,-27.0
Alabama,Morgan,home,1,8.0
Alabama,Perry,retail_rec,0,-53.0
Alabama,Perry,groc_pharm,0,4.0
Alabama,Perry,parks,0,
Alabama,Perry,transit,0,
Alabama,Perry,work,0,-29.0
Alabama,Perry,home,0,
Alabama,Pickens,retail_rec,1,-36.0
Alabama,Pickens,groc_pharm,1,-4.0
Alabama,Pickens,parks,0,
Alabama,Pickens,transit,0,
Alabama,Pickens,work,0,-36.0
Alabama,Pickens,home,0,
Alabama,Pike,retail_rec,1,-39.0
Alabama,Pike,groc_pharm,1,-36.0
Alabama,Pike,parks,0,
Alabama,Pike,transit,0,
Alabama,Pike,work,1,-25.0
Alabama,Pike,home,0,0.0
Alabama,Randolph,retail_rec,1,-29.0
Alabama,Randolph,groc_pharm,1,-14.0
Alabama,Randolph,parks,0,
Alabama,Randolph,transit,0,
Alabama,Randolph,work,1,-22.0
Alabama,Randolph,home,0,
Alabama,Russell,retail_rec,1,-28.0
Alabama,Russell,groc_pharm,1,-5.0
Alabama,Russell,parks,0,
Alabama,Russell,transit,0,
Alabama,Russell,work,1,-27.0
Alabama,Russell,home,1,13.0
Alabama,Shelby,retail_rec,1,-43.0
Alabama,Shelby,groc_pharm,1,-20.0
Alabama,Shelby,parks,1,44.0
Alabama,Shelby,transit,0,
Alabama,Shelby,work,1,-36.0
Alabama,Shelby,home,1,12.0
Alabama,St. Clair,retail_rec,1,-30.0
Alabama,St. Clair,groc_pharm,1,-15.0
Alabama,St. Clair,parks,0,
Alabama,St. Clair,transit,1,-24.0
Alabama,St. Clair,work,1,-34.0
Alabama,St. Clair,home,1,9.0
Alabama,Sumter,retail_rec,0,-52.0
Alabama,Sumter,groc_pharm,0,-6.0
Alabama,Sumter,parks,0,
Alabama,Sumter,transit,0,
Alabama,Sumter,work,0,-31.0
Alabama,Sumter,home,0,
Alabama,Talladega,retail_rec,1,-31.0
Alabama,Talladega,groc_pharm,1,-10.0
Alabama,Talladega,parks,0,17.0
Alabama,Talladega,transit,1,-12.0
Alabama,Talladega,work,1,-33.0
Alabama,Talladega,home,1,7.0
Alabama,Tallapoosa,retail_rec,1,-31.0
Alabama,Tallapoosa,groc_pharm,1,-9.0
Alabama,Tallapoosa,parks,0,
Alabama,Tallapoosa,transit,0,
Alabama,Tallapoosa,work,1,-25.0
Alabama,Tallapoosa,home,0,13.0
Alabama,Tuscaloosa,retail_rec,1,-46.0
Alabama,Tuscaloosa,groc_pharm,1,-14.0
Alabama,Tuscaloosa,parks,1,-1.0
Alabama,Tuscaloosa,transit,1,-29.0
Alabama,Tuscaloosa,work,1,-40.0
Alabama,Tuscaloosa,home,1,12.0
Alabama,Walker,retail_rec,1,-37.0
Alabama,Walker,groc_pharm,1,-10.0
Alabama,Walker,parks,0,
Alabama,Walker,transit,1,-32.0
Alabama,Walker,work,1,-24.0
Alabama,Walker,home,0,12.0
Alabama,Washington,retail_rec,0,
Alabama,Washington,groc_pharm,1,-13.0
Alabama,Washington,parks,0,
Alabama,Washington,transit,0,
Alabama,Washington,work,0,-25.0
Alabama,Washington,home,0,
Alabama,Wilcox,retail_rec,0,-49.0
Alabama,Wilcox,groc_pharm,0,-17.0
Alabama,Wilcox,parks,0,
Alabama,Wilcox,transit,0,
Alabama,Wilcox,work,0,-31.0
Alabama,Wilcox,home,0,
Alabama,Winston,retail_rec,1,-28.0
Alabama,Winston,groc_pharm,1,1.0
Alabama,Winston,parks,0,
Alabama,Winston,transit,0,
Alabama,Winston,work,1,-21.0
Alabama,Winston,home,0,
Alaska,Anchorage,retail_rec,1,-49.0
Alaska,Anchorage,groc_pharm,1,-25.0
Alaska,Anchorage,parks,1,51.0
Alaska,Anchorage,transit,1,-53.0
Alaska,Anchorage,work,1,-39.0
Alaska,Anchorage,home,1,11.0
Alaska,Bethel,retail_rec,0,
Alaska,Bethel,groc_pharm,0,-26.0
Alaska,Bethel,parks,0,
Alaska,Bethel,transit,0,
Alaska,Bethel,work,0,-19.0
Alaska,Bethel,home,0,
Alaska,Fairbanks North Star,retail_rec,1,-48.0
Alaska,Fairbanks North Star,groc_pharm,1,-34.0
Alaska,Fairbanks North Star,parks,0,
Alaska,Fairbanks North Star,transit,1,-76.0
Alaska,Fairbanks North Star,work,1,-32.0
Alaska,Fairbanks North Star,home,1,12.0
Alaska,Juneau,retail_rec,1,-61.0
Alaska,Juneau,groc_pharm,1,-34.0
Alaska,Juneau,parks,0,-34.0
Alaska,Juneau,transit,1,-66.0
Alaska,Juneau,work,1,-31.0
Alaska,Juneau,home,0,-1.0
Alaska,Kenai Peninsula Borough,retail_rec,1,-49.0
Alaska,Kenai Peninsula Borough,groc_pharm,1,-28.0
Alaska,Kenai Peninsula Borough,parks,0,
Alaska,Kenai Peninsula Borough,transit,0,
Alaska,Kenai Peninsula Borough,work,1,-24.0
Alaska,Kenai Peninsula Borough,home,0,14.0
Alaska,Ketchikan Gateway,retail_rec,1,-48.0
Alaska,Ketchikan Gateway,groc_pharm,0,-38.0
Alaska,Ketchikan Gateway,parks,0,
Alaska,Ketchikan Gateway,transit,0,
Alaska,Ketchikan Gateway,work,0,-32.0
Alaska,Ketchikan Gateway,home,0,
Alaska,Kodiak Island,retail_rec,1,-50.0
Alaska,Kodiak Island,groc_pharm,0,
Alaska,Kodiak Island,parks,0,
Alaska,Kodiak Island,transit,0,
Alaska,Kodiak Island,work,0,-23.0
Alaska,Kodiak Island,home,0,
Alaska,Matanuska-Susitna,retail_rec,1,-48.0
Alaska,Matanuska-Susitna,groc_pharm,1,-33.0
Alaska,Matanuska-Susitna,parks,0,
Alaska,Matanuska-Susitna,transit,0,
Alaska,Matanuska-Susitna,work,1,-33.0
Alaska,Matanuska-Susitna,home,1,10.0
Alaska,North Slope,retail_rec,0,
Alaska,North Slope,groc_pharm,0,
Alaska,North Slope,parks,0,
Alaska,North Slope,transit,0,
Alaska,North Slope,work,0,-7.0
Alaska,North Slope,home,0,
Alaska,Sitka,retail_rec,0,-59.0
Alaska,Sitka,groc_pharm,0,
Alaska,Sitka,parks,0,
Alaska,Sitka,transit,0,
Alaska,Sitka,work,0,-31.0
Alaska,Sitka,home,0,
Alaska,Southeast Fairbanks,retail_rec,0,
Alaska,Southeast Fairbanks,groc_pharm,0,
Alaska,Southeast Fairbanks,parks,0,
Alaska,Southeast Fairbanks,transit,0,
Alaska,Southeast Fairbanks,work,0,-35.0
Alaska,Southeast Fairbanks,home,0,
Alaska,Valdez-Cordova,retail_rec,0,
Alaska,Valdez-Cordova,groc_pharm,0,
Alaska,Valdez-Cordova,parks,0,
Alaska,Valdez-Cordova,transit,0,
Alaska,Valdez-Cordova,work,0,-22.0
Alaska,Valdez-Cordova,home,0,
Arizona,Apache,retail_rec,1,-38.0
Arizona,Apache,groc_pharm,1,-13.0
Arizona,Apache,parks,1,-35.0
Arizona,Apache,transit,1,-8.0
Arizona,Apache,work,1,-27.0
Arizona,Apache,home,0,20.0
Arizona,Cochise,retail_rec,1,-37.0
Arizona,Cochise,groc_pharm,1,-21.0
Arizona,Cochise,parks,1,-14.0
Arizona,Cochise,transit,1,-23.0
Arizona,Cochise,work,1,-29.0
Arizona,Cochise,home,1,8.0
Arizona,Coconino,retail_rec,1,-55.0
Arizona,Coconino,groc_pharm,1,-24.0
Arizona,Coconino,parks,1,-25.0
Arizona,Coconino,transit,1,-34.0
Arizona,Coconino,work,1,-38.0
Arizona,Coconino,home,1,12.0
Arizona,Gila,retail_rec,1,-14.0
Arizona,Gila,groc_pharm,1,16.0
Arizona,Gila,parks,1,95.0
Arizona,Gila,transit,0,
Arizona,Gila,work,1,-28.0
Arizona,Gila,home,0,11.0
Arizona,Graham,retail_rec,1,-21.0
Arizona,Graham,groc_pharm,1,14.0
Arizona,Graham,parks,0,-63.0
Arizona,Graham,transit,0,
Arizona,Graham,work,1,-19.0
Arizona,Graham,home,0,11.0
Arizona,Greenlee,retail_rec,0,-37.0
Arizona,Greenlee,groc_pharm,1,-10.0
Arizona,Greenlee,parks,0,
Arizona,Greenlee,transit,0,
Arizona,Greenlee,work,0,-28.0
Arizona,Greenlee,home,0,
Arizona,La Paz,retail_rec,1,-61.0
Arizona,La Paz,groc_pharm,1,-35.0
Arizona,La Paz,parks,1,-54.0
Arizona,La Paz,transit,1,-50.0
Arizona,La Paz,work,1,-21.0
Arizona,La Paz,home,0,
Arizona,Maricopa,retail_rec,1,-40.0
Arizona,Maricopa,groc_pharm,1,-18.0
Arizona,Maricopa,parks,1,-6.0
Arizona,Maricopa,transit,1,-44.0
Arizona,Maricopa,work,1,-33.0
Arizona,Maricopa,home,1,10.0
Arizona,Mohave,retail_rec,1,-36.0
Arizona,Mohave,groc_pharm,1,-13.0
Arizona,Mohave,parks,1,-13.0
Arizona,Mohave,transit,1,-23.0
Arizona,Mohave,work,1,-37.0
Arizona,Mohave,home,1,9.0
Arizona,Navajo,retail_rec,1,-29.0
Arizona,Navajo,groc_pharm,1,-9.0
Arizona,Navajo,parks,1,11.0
Arizona,Navajo,transit,1,-12.0
Arizona,Navajo,work,1,-28.0
Arizona,Navajo,home,1,10.0
Arizona,Pima,retail_rec,1,-43.0
Arizona,Pima,groc_pharm,1,-16.0
Arizona,Pima,parks,1,-16.0
Arizona,Pima,transit,1,-43.0
Arizona,Pima,work,1,-36.0
Arizona,Pima,home,1,10.0
Arizona,Pinal,retail_rec,1,-27.0
Arizona,Pinal,groc_pharm,1,-23.0
Arizona,Pinal,parks,1,1.0
Arizona,Pinal,transit,1,-28.0
Arizona,Pinal,work,1,-31.0
Arizona,Pinal,home,1,8.0
Arizona,Santa Cruz,retail_rec,1,-56.0
Arizona,Santa Cruz,groc_pharm,1,-47.0
Arizona,Santa Cruz,parks,1,-29.0
Arizona,Santa Cruz,transit,1,-25.0
Arizona,Santa Cruz,work,1,-33.0
Arizona,Santa Cruz,home,0,18.0
Arizona,Yavapai,retail_rec,1,-40.0
Arizona,Yavapai,groc_pharm,1,-15.0
Arizona,Yavapai,parks,1,6.0
Arizona,Yavapai,transit,1,-27.0
Arizona,Yavapai,work,1,-38.0
Arizona,Yavapai,home,1,9.0
Arizona,Yuma,retail_rec,1,-45.0
Arizona,Yuma,groc_pharm,1,-21.0
Arizona,Yuma,parks,1,-17.0
Arizona,Yuma,transit,1,-53.0
Arizona,Yuma,work,1,-27.0
Arizona,Yuma,home,1,10.0
Arkansas,Arkansas,retail_rec,1,-22.0
Arkansas,Arkansas,groc_pharm,1,-7.0
Arkansas,Arkansas,parks,0,
Arkansas,Arkansas,transit,0,
Arkansas,Arkansas,work,0,-11.0
Arkansas,Arkansas,home,0,
Arkansas,Ashley,retail_rec,1,-24.0
Arkansas,Ashley,groc_pharm,1,-4.0
Arkansas,Ashley,parks,0,
Arkansas,Ashley,transit,0,
Arkansas,Ashley,work,1,-27.0
Arkansas,Ashley,home,0,
Arkansas,Baxter,retail_rec,1,-30.0
Arkansas,Baxter,groc_pharm,1,-2.0
Arkansas,Baxter,parks,0,
Arkansas,Baxter,transit,0,
Arkansas,Baxter,work,1,-26.0
Arkansas,Baxter,home,0,11.0
Arkansas,Benton,retail_rec,1,-36.0
Arkansas,Benton,groc_pharm,1,-16.0
Arkansas,Benton,parks,1,56.0
Arkansas,Benton,transit,1,-65.0
Arkansas,Benton,work,1,-34.0
Arkansas,Benton,home,1,9.0
Arkansas,Boone,retail_rec,1,-25.0
Arkansas,Boone,groc_pharm,1,-17.0
Arkansas,Boone,parks,0,
Arkansas,Boone,transit,0,
Arkansas,Boone,work,1,-32.0
Arkansas,Boone,home,0,14.0
Arkansas,Bradley,retail_rec,0,-28.0
Arkansas,Bradley,groc_pharm,1,-17.0
Arkansas,Bradley,parks,0,
Arkansas,Bradley,transit,0,
Arkansas,Bradley,work,0,-37.0
Arkansas,Bradley,home,0,
Arkansas,Carroll,retail_rec,1,-27.0
Arkansas,Carroll,groc_pharm,1,14.0
Arkansas,Carroll,parks,0,
Arkansas,Carroll,transit,0,
Arkansas,Carroll,work,1,-27.0
Arkansas,Carroll,home,0,-1.0
Arkansas,Chicot,retail_rec,0,-19.0
Arkansas,Chicot,groc_pharm,0,6.0
Arkansas,Chicot,parks,0,
Arkansas,Chicot,transit,0,
Arkansas,Chicot,work,0,-25.0
Arkansas,Chicot,home,0,
Arkansas,Clark,retail_rec,1,-33.0
Arkansas,Clark,groc_pharm,1,2.0
Arkansas,Clark,parks,0,
Arkansas,Clark,transit,1,-23.0
Arkansas,Clark,work,1,-22.0
Arkansas,Clark,home,0,
Arkansas,Clay,retail_rec,1,-7.0
Arkansas,Clay,groc_pharm,0,-2.0
Arkansas,Clay,parks,0,
Arkansas,Clay,transit,0,
Arkansas,Clay,work,0,-21.0
Arkansas,Clay,home,0,
Arkansas,Cleburne,retail_rec,1,-16.0
Arkansas,Cleburne,groc_pharm,1,0.0
Arkansas,Cleburne,parks,0,
Arkansas,Cleburne,transit,0,
Arkansas,Cleburne,work,1,-37.0
Arkansas,Cleburne,home,0,
Arkansas,Cleveland,retail_rec,0,
Arkansas,Cleveland,groc_pharm,0,
Arkansas,Cleveland,parks,0,
Arkansas,Cleveland,transit,0,
Arkansas,Cleveland,work,0,-33.0
Arkansas,Cleveland,home,0,
Arkansas,Columbia,retail_rec,1,-18.0
Arkansas,Columbia,groc_pharm,1,-20.0
Arkansas,Columbia,parks,0,
Arkansas,Columbia,transit,0,
Arkansas,Columbia,work,1,-20.0
Arkansas,Columbia,home,0,
Arkansas,Conway,retail_rec,1,2.0
Arkansas,Conway,groc_pharm,1,4.0
Arkansas,Conway,parks,0,
Arkansas,Conway,transit,1,-2.0
Arkansas,Conway,work,1,-25.0
Arkansas,Conway,home,0,
Arkansas,Craighead,retail_rec,1,-32.0
Arkansas,Craighead,groc_pharm,1,-3.0
Arkansas,Craighead,parks,0,-59.0
Arkansas,Craighead,transit,0,-5.0
Arkansas,Craighead,work,1,-24.0
Arkansas,Craighead,home,1,4.0
Arkansas,Crawford,retail_rec,1,-16.0
Arkansas,Crawford,groc_pharm,1,-1.0
Arkansas,Crawford,parks,0,
Arkansas,Crawford,transit,0,-11.0
Arkansas,Crawford,work,1,-21.0
Arkansas,Crawford,home,0,14.0
Arkansas,Crittenden,retail_rec,1,-15.0
Arkansas,Crittenden,groc_pharm,1,-11.0
Arkansas,Crittenden,parks,0,
Arkansas,Crittenden,transit,1,-17.0
Arkansas,Crittenden,work,1,-26.0
Arkansas,Crittenden,home,0,15.0
Arkansas,Cross,retail_rec,1,-49.0
Arkansas,Cross,groc_pharm,0,90.0
Arkansas,Cross,parks,0,
Arkansas,Cross,transit,0,
Arkansas,Cross,work,0,-7.0
Arkansas,Cross,home,0,
Arkansas,Dallas,retail_rec,1,-17.0
Arkansas,Dallas,groc_pharm,0,
Arkansas,Dallas,parks,0,
Arkansas,Dallas,transit,0,
Arkansas,Dallas,work,0,-32.0
Arkansas,Dallas,home,0,
Arkansas,Desha,retail_rec,1,-8.0
Arkansas,Desha,groc_pharm,1,0.0
Arkansas,Desha,parks,0,
Arkansas,Desha,transit,0,
Arkansas,Desha,work,0,-33.0
Arkansas,Desha,home,0,
Arkansas,Drew,retail_rec,1,-27.0
Arkansas,Drew,groc_pharm,1,-10.0
Arkansas,Drew,parks,0,
Arkansas,Drew,transit,0,
Arkansas,Drew,work,0,-16.0
Arkansas,Drew,home,0,
Arkansas,Faulkner,retail_rec,1,-32.0
Arkansas,Faulkner,groc_pharm,1,-15.0
Arkansas,Faulkner,parks,0,-21.0
