state,county,seg,conf,value
Missouri,DeKalb,Parks,0,
Missouri,DeKalb,Residential,0,
Missouri,DeKalb,Retail & recreation,1,-7.0
Missouri,DeKalb,Transit stations,0,
Missouri,DeKalb,Workplace,0,-18.0
Missouri,Dent,Grocery & pharmacy,0,
Missouri,Dent,Parks,0,
Missouri,Dent,Residential,0,
Missouri,Dent,Retail & recreation,1,0.0
Missouri,Dent,Transit stations,0,
Missouri,Dent,Workplace,0,-5.0
Missouri,Douglas,Grocery & pharmacy,0,-14.0
Missouri,Douglas,Parks,0,
Missouri,Douglas,Residential,0,
Missouri,Douglas,Retail & recreation,1,-5.0
Missouri,Douglas,Transit stations,0,
Missouri,Douglas,Workplace,0,-21.0
Missouri,Dunklin,Grocery & pharmacy,1,10.0
Missouri,Dunklin,Parks,0,
Missouri,Dunklin,Residential,0,
Missouri,Dunklin,Retail & recreation,1,-15.0
Missouri,Dunklin,Transit stations,0,
Missouri,Dunklin,Workplace,1,-23.0
Missouri,Franklin,Grocery & pharmacy,1,2.0
Missouri,Franklin,Parks,0,61.0
Missouri,Franklin,Residential,1,8.0
Missouri,Franklin,Retail & recreation,1,-33.0
Missouri,Franklin,Transit stations,1,-12.0
Missouri,Franklin,Workplace,1,-25.0
Missouri,Gasconade,Grocery & pharmacy,0,
Missouri,Gasconade,Parks,0,
Missouri,Gasconade,Residential,0,
Missouri,Gasconade,Retail & recreation,1,-22.0
Missouri,Gasconade,Transit stations,0,
Missouri,Gasconade,Workplace,0,-25.0
Missouri,Gentry,Grocery & pharmacy,0,
Missouri,Gentry,Parks,0,
Missouri,Gentry,Residential,0,
Missouri,Gentry,Retail & recreation,0,
Missouri,Gentry,Transit stations,0,
Missouri,Gentry,Workplace,0,-34.0
Missouri,Greene,Grocery & pharmacy,1,-30.0
Missouri,Greene,Parks,1,43.0
Missouri,Greene,Residential,1,10.0
Missouri,Greene,Retail & recreation,1,-45.0
Missouri,Greene,Transit stations,1,-34.0
Missouri,Greene,Workplace,1,-36.0
Missouri,Grundy,Grocery & pharmacy,0,-7.0
Missouri,Grundy,Parks,0,
Missouri,Grundy,Residential,0,
Missouri,Grundy,Retail & recreation,0,-16.0
Missouri,Grundy,Transit stations,0,
Missouri,Grundy,Workplace,0,-10.0
Missouri,Harrison,Grocery & pharmacy,0,-20.0
Missouri,Harrison,Parks,0,
Missouri,Harrison,Residential,0,
Missouri,Harrison,Retail & recreation,1,-25.0
Missouri,Harrison,Transit stations,1,-15.0
